  Reactions   	  Enzymes of a reaction  	  Object ID  	  Object ID  	  Reaction-Direction  	  Substrates  	  Left  	  Right  
an N10-formyl-tetrahydrofolate + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide ↔ a tetrahydrofolate + 5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide	bifunctional AICAR transformylase/IMP cyclohydrolase	AICARTRANSIMPCYCLO-CPLX	AICARTRANSFORM-RXN	REVERSIBLE	"5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide
an N10-formyl-tetrahydrofolate
a tetrahydrofolate
5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide"	"an N10-formyl-tetrahydrofolate
5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide"	"a tetrahydrofolate
5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide"
an N10-formyl-tetrahydrofolate + an L-methionyl-[initiator tRNAmet] → a tetrahydrofolate + an N-formyl-L-methionyl-[initiator tRNAmet] + H+	10-formyltetrahydrofolate:L-methionyl-tRNAfMetN-formyltransferase	EG11268-MONOMER	METHIONYL-TRNA-FORMYLTRANSFERASE-RXN	LEFT-TO-RIGHT	"an L-methionyl-[initiator tRNAmet]
an N10-formyl-tetrahydrofolate
a tetrahydrofolate
an N-formyl-L-methionyl-[initiator tRNAmet]
H+"	"an N10-formyl-tetrahydrofolate
an L-methionyl-[initiator tRNAmet]"	"a tetrahydrofolate
an N-formyl-L-methionyl-[initiator tRNAmet]
H+"
an N10-formyl-tetrahydrofolate + H2O → a tetrahydrofolate + formate + H+	formyltetrahydrofolate deformylase	FORMYLTHFDEFORMYL-CPLX	FORMYLTHFDEFORMYL-RXN	LEFT-TO-RIGHT	"H2O
an N10-formyl-tetrahydrofolate
a tetrahydrofolate
formate
H+"	"an N10-formyl-tetrahydrofolate
H2O"	"a tetrahydrofolate
formate
H+"
an N10-formyl-tetrahydrofolate + N1-(5-phospho-β-D-ribosyl)glycinamide ↔ a tetrahydrofolate + N2-formyl-N1-(5-phospho-β-D-ribosyl)glycinamide + H+	phosphoribosylglycinamide formyltransferase 1	GART-MONOMER	GART-RXN	REVERSIBLE	"N1-(5-phospho-β-D-ribosyl)glycinamide
an N10-formyl-tetrahydrofolate
a tetrahydrofolate
N2-formyl-N1-(5-phospho-β-D-ribosyl)glycinamide
H+"	"an N10-formyl-tetrahydrofolate
N1-(5-phospho-β-D-ribosyl)glycinamide"	"a tetrahydrofolate
N2-formyl-N1-(5-phospho-β-D-ribosyl)glycinamide
H+"
an N3-methyladenine in DNA + H2O → an apurinic site within DNA + 3-methyladenine	3-methyl-adenine DNA glycosylase I, constitutive	EG10986-MONOMER	RXN0-5189	PHYSIOL-LEFT-TO-RIGHT	"H2O
an N3-methyladenine in DNA
an apurinic site within DNA
3-methyladenine"	"an N3-methyladenine in DNA
H2O"	"an apurinic site within DNA
3-methyladenine"
an N6-(1-hydroxy-2-oxopropyl)-[protein]-L-lysine + H2O → a [protein]-L-lysine + (R)-lactate	"protein deglycase 1
protein deglycase 2
protein deglycase 3"	"CPLX0-861
G7647-MONOMER
CPLX0-7960"	RXN-17632	PHYSIOL-LEFT-TO-RIGHT	"H2O
an N6-(1-hydroxy-2-oxopropyl)-[protein]-L-lysine
a [protein]-L-lysine
(R)-lactate"	"an N6-(1-hydroxy-2-oxopropyl)-[protein]-L-lysine
H2O"	"a [protein]-L-lysine
(R)-lactate"
an N6-L-threonylcarbamoyladenine37in tRNA + ATP → a cyclic N6-L-threonylcarbamoyladenosine 37 in tRNA + ADP + phosphate + H+	tRNA threonylcarbamoyladenosine dehydratase	CPLX0-8176	RXN0-7115	LEFT-TO-RIGHT	"ATP
an N6-L-threonylcarbamoyladenine37in tRNA
a cyclic N6-L-threonylcarbamoyladenosine 37 in tRNA
ADP
phosphate
H+"	"an N6-L-threonylcarbamoyladenine37in tRNA
ATP"	"a cyclic N6-L-threonylcarbamoyladenosine 37 in tRNA
ADP
phosphate
H+"
an N6-L-threonylcarbamoyladenine37in tRNA + S-adenosyl-L-methionine → an N6-methyl-threonylcarbamoyladenosine 37 in tRNA + S-adenosyl-L-homocysteine + H+	tRNA m6t6A37 methyltransferase	EG11503-MONOMER	RXN0-7114	PHYSIOL-LEFT-TO-RIGHT	"S-adenosyl-L-methionine
an N6-L-threonylcarbamoyladenine37in tRNA
an N6-methyl-threonylcarbamoyladenosine 37 in tRNA
S-adenosyl-L-homocysteine
H+"	"an N6-L-threonylcarbamoyladenine37in tRNA
S-adenosyl-L-methionine"	"an N6-methyl-threonylcarbamoyladenosine 37 in tRNA
S-adenosyl-L-homocysteine
H+"
an Nω-(1-hydroxy-2-oxopropyl)-[protein]-L-arginine → a [protein]-L-lysine-N-2-(4,5-dihydro-4-methyl-1H-imidazol-4,5-diol) + H+			RXN-17635	PHYSIOL-LEFT-TO-RIGHT	"an Nω-(1-hydroxy-2-oxopropyl)-[protein]-L-arginine
a [protein]-L-lysine-N-2-(4,5-dihydro-4-methyl-1H-imidazol-4,5-diol)
H+"	an Nω-(1-hydroxy-2-oxopropyl)-[protein]-L-arginine	"a [protein]-L-lysine-N-2-(4,5-dihydro-4-methyl-1H-imidazol-4,5-diol)
H+"
an Nω-(1-hydroxy-2-oxopropyl)-[protein]-L-arginine + H2O → a [protein]-L-arginine + (R)-lactate + H+	protein deglycase 1	CPLX0-861	RXN-17630	LEFT-TO-RIGHT	"H2O
an Nω-(1-hydroxy-2-oxopropyl)-[protein]-L-arginine
a [protein]-L-arginine
(R)-lactate
H+"	"an Nω-(1-hydroxy-2-oxopropyl)-[protein]-L-arginine
H2O"	"a [protein]-L-arginine
(R)-lactate
H+"
an O-acetyl-ADP-ribose + H2O → ADP-D-ribose + acetate	O-acetyl-ADP-ribose deacetylase, regulator of RNase III activity	CPLX0-7758	RXN0-7013	PHYSIOL-LEFT-TO-RIGHT	"H2O
an O-acetyl-ADP-ribose
ADP-D-ribose
acetate"	"an O-acetyl-ADP-ribose
H2O"	"ADP-D-ribose
acetate"
an O-antigen[cytosol]→ an O-antigen[periplasm]	O-antigen flippase	RFBX-MONOMER	TRANS-RXN-146	LEFT-TO-RIGHT	an O-antigen	an O-antigen	an O-antigen
an O4-methylthymine in DNA + a [protein]-L-cysteine → a thymine in DNA + a [protein]-S-methyl-L-cysteine	"O6-alkylguanine-DNA-alkyltransferase
DNA-binding transcriptional dual regulator / DNA repair protein Ada"	"EG10668-MONOMER
PD00230"	RXN-17824	LEFT-TO-RIGHT	"a [protein]-L-cysteine
an O4-methylthymine in DNA
a thymine in DNA
a [protein]-S-methyl-L-cysteine"	"an O4-methylthymine in DNA
a [protein]-L-cysteine"	"a thymine in DNA
a [protein]-S-methyl-L-cysteine"
an octanoyl-[acp] + a malonyl-[acp] + H+→ a 3-oxo-decanoyl-[acp] + CO2+ a holo-[acyl-carrier protein]	β-ketoacyl-[acyl carrier protein] synthase I	FABB-CPLX	RXN-9527	LEFT-TO-RIGHT	"H+
a malonyl-[acp]
an octanoyl-[acp]
a 3-oxo-decanoyl-[acp]
CO2
a holo-[acyl-carrier protein]"	"an octanoyl-[acp]
a malonyl-[acp]
H+"	"a 3-oxo-decanoyl-[acp]
CO2
a holo-[acyl-carrier protein]"
an octanoyl-[acp] + a [lipoyl-carrier protein]-L-lysine → a [lipoyl-carrier protein] N6-octanoyl-L-lysine + a holo-[acyl-carrier protein] + H+	lipoyl(octanoyl) transferase	EG11591-MONOMER	RXN0-947	PHYSIOL-LEFT-TO-RIGHT	"a [lipoyl-carrier protein]-L-lysine
an octanoyl-[acp]
a [lipoyl-carrier protein] N6-octanoyl-L-lysine
a holo-[acyl-carrier protein]
H+"	"an octanoyl-[acp]
a [lipoyl-carrier protein]-L-lysine"	"a [lipoyl-carrier protein] N6-octanoyl-L-lysine
a holo-[acyl-carrier protein]
H+"
an oligonucleotide + H2O → n a nucleoside 5'-monophosphate	oligoribonuclease	CPLX0-1821	3.1.13.3-RXN	PHYSIOL-LEFT-TO-RIGHT	"H2O
an oligonucleotide
a nucleoside 5'-monophosphate"	"an oligonucleotide
H2O"	a nucleoside 5'-monophosphate
an oligopeptide + H2O → a peptide + a peptide	oligopeptidase A	EG11441-MONOMER	3.4.24.70-RXN	PHYSIOL-LEFT-TO-RIGHT	"an oligopeptide
H2O
a peptide
a peptide"	"H2O
an oligopeptide"	"a peptide
a peptide"
an oligopeptide + H2O → a peptide + a peptide	oligopeptidase B	EG11004-MONOMER	3.4.21.83-RXN	PHYSIOL-LEFT-TO-RIGHT	"H2O
an oligopeptide
a peptide
a peptide"	"an oligopeptide
H2O"	"a peptide
a peptide"
an oligopeptide[periplasm]↔ an oligopeptide[extracellular space]	"outer membrane porin E
outer membrane porin C
outer membrane porin F"	"CPLX0-7530
CPLX0-7533
CPLX0-7534"	RXN0-7202	REVERSIBLE	an oligopeptide	an oligopeptide	an oligopeptide
an oligopeptide[periplasm]+ ATP + H2O → an oligopeptide[cytosol]+ ADP + phosphate + H+	"putative oligopeptide ABC transporter
oligopeptide ABC transporter"	"ABC-41-CPLX
ABC-22-CPLX"	3.6.3.23-RXN	PHYSIOL-LEFT-TO-RIGHT	"ATP
H2O
an oligopeptide
phosphate
ADP
H+"	"an oligopeptide
H2O
ATP"	"an oligopeptide
phosphate
ADP
H+"
an oligopeptide[periplasm]+ H2O[periplasm]→ a peptide[periplasm]+ a dipeptide[periplasm]	peptidyl-dipeptidase Dcp	EG10212-MONOMER	3.4.15.5-RXN	PHYSIOL-LEFT-TO-RIGHT	"H2O
an oligopeptide
a peptide
a dipeptide"	"an oligopeptide
H2O"	"a peptide
a dipeptide"
an organic hydroperoxide + a reduced thioredoxin → an alcohol + an oxidized thioredoxin + H2O	"osmotically inducible peroxiredoxin
thiol peroxidase
lipid hydroperoxide peroxidase"	"CPLX0-8157
EG10108-MONOMER
CPLX0-7747"	RXN0-5468	PHYSIOL-LEFT-TO-RIGHT	"a reduced thioredoxin
an organic hydroperoxide
an alcohol
an oxidized thioredoxin
H2O"	"an organic hydroperoxide
a reduced thioredoxin"	"an alcohol
an oxidized thioredoxin
H2O"
an organic hydroperoxide + NADH + H+→ an alcohol + NAD++ H2O	alkyl hydroperoxide reductase	CPLX0-245	R4-RXN	PHYSIOL-RIGHT-TO-LEFT	"NAD+
H2O
an alcohol
an organic hydroperoxide
NADH
H+"	"an alcohol
H2O
NAD+"	"an organic hydroperoxide
NADH
H+"
an organophosphorus compound[periplasm]↔ an organophosphorus compound[extracellular space]	"outer membrane porin E
outer membrane porin C
outer membrane porin F"	"CPLX0-7530
CPLX0-7533
CPLX0-7534"	RXN0-7211	REVERSIBLE	an organophosphorus compound	an organophosphorus compound	an organophosphorus compound
an organosulfur compound[periplasm]↔ an organosulfur compound[extracellular space]	"outer membrane porin E
outer membrane porin F
outer membrane porin C"	"CPLX0-7530
CPLX0-7534
CPLX0-7533"	TRANS-RXN0-604	REVERSIBLE	an organosulfur compound	an organosulfur compound	an organosulfur compound
an osmoregulated periplasmic glucan with phosphoglycerol substituent[periplasm]+ an osmoregulated periplasmic glucan[periplasm]↔ an osmoregulated periplasmic glucan[periplasm]+ an osmoregulated periplasmic glucan with phosphoglycerol substituent[periplasm]	phosphoglycerol transferase II	PGLYCEROLTRANSII-MONOMER	PGLYCEROLTRANSII-RXN	REVERSIBLE	"an osmoregulated periplasmic glucan
an osmoregulated periplasmic glucan with phosphoglycerol substituent"	"an osmoregulated periplasmic glucan with phosphoglycerol substituent
an osmoregulated periplasmic glucan"	"an osmoregulated periplasmic glucan
an osmoregulated periplasmic glucan with phosphoglycerol substituent"
an osmoregulated periplasmic glucan[periplasm]+ an L-1-phosphatidyl-sn-glycerol[periplasm]↔ an osmoregulated periplasmic glucan with phosphoglycerol substituent[periplasm]+ a 1,2-diacyl-sn-glycerol[periplasm]+ H+[periplasm]	phosphoglycerol transferase I	PGLYCEROLTRANSI-MONOMER	PGLYCEROLTRANSI-RXN	REVERSIBLE	"an L-1-phosphatidyl-sn-glycerol
an osmoregulated periplasmic glucan
an osmoregulated periplasmic glucan with phosphoglycerol substituent
a 1,2-diacyl-sn-glycerol
H+"	"an osmoregulated periplasmic glucan
an L-1-phosphatidyl-sn-glycerol"	"an osmoregulated periplasmic glucan with phosphoglycerol substituent
a 1,2-diacyl-sn-glycerol
H+"
an oxidized c-type cytochrome[out]+ e-[membrane]→ a reduced c-type cytochrome[out]	formate-dependent nitrite reductase	NRFMULTI-CPLX	RXN-15815	LEFT-TO-RIGHT	"E-
an oxidized c-type cytochrome
a reduced c-type cytochrome"	"an oxidized c-type cytochrome
E-"	a reduced c-type cytochrome
an oxidized electron-transfer flavoprotein + cis-vaccenoyl-CoA + H+→ (2E,11Z)-octadecenoyl-CoA + a reduced electron-transfer flavoprotein	"putative enoyl-CoA reductase
acyl-CoA dehydrogenase"	"G6918-MONOMER
ACYLCOADEHYDROG-MONOMER"	RXN-17784	PHYSIOL-RIGHT-TO-LEFT	"a reduced electron-transfer flavoprotein
(2E,11Z)-octadecenoyl-CoA
an oxidized electron-transfer flavoprotein
cis-vaccenoyl-CoA
H+"	"(2E,11Z)-octadecenoyl-CoA
a reduced electron-transfer flavoprotein"	"an oxidized electron-transfer flavoprotein
cis-vaccenoyl-CoA
H+"
an oxidized electron-transfer flavoprotein + palmitoleoyl-CoA + H+→ (2E,9Z)-hexadecenoyl-CoA + a reduced electron-transfer flavoprotein	"putative enoyl-CoA reductase
acyl-CoA dehydrogenase"	"G6918-MONOMER
ACYLCOADEHYDROG-MONOMER"	RXN-17788	PHYSIOL-RIGHT-TO-LEFT	"a reduced electron-transfer flavoprotein
(2E,9Z)-hexadecenoyl-CoA
an oxidized electron-transfer flavoprotein
palmitoleoyl-CoA
H+"	"(2E,9Z)-hexadecenoyl-CoA
a reduced electron-transfer flavoprotein"	"an oxidized electron-transfer flavoprotein
palmitoleoyl-CoA
H+"
an oxidized flavodoxin + NADPH + H+→ a reduced flavodoxin + NADP+	flavodoxin/ferredoxin-NADP+reductase	FLAVONADPREDUCT-MONOMER	FLAVONADPREDUCT-RXN	PHYSIOL-RIGHT-TO-LEFT	"NADP+
a reduced flavodoxin
an oxidized flavodoxin
NADPH
H+"	"a reduced flavodoxin
NADP+"	"an oxidized flavodoxin
NADPH
H+"
an oxidized flavoprotein (FAD) + NAD(P)H + 2 H+→ a reduced flavoprotein (FADH2) + NAD(P)+			FAD-RED-RXN	LEFT-TO-RIGHT	"H+
an oxidized flavoprotein (FAD)
NAD(P)H
NAD(P)+
a reduced flavoprotein (FADH2)"	"NAD(P)H
an oxidized flavoprotein (FAD)
H+"	"NAD(P)+
a reduced flavoprotein (FADH2)"
an oxidized flavoprotein (FMN) + NAD(P)H + 2 H+→ a reduced flavoprotein (FMNH2) + NAD(P)+			FMN-RED-RXN	LEFT-TO-RIGHT	"H+
an oxidized flavoprotein (FMN)
NAD(P)H
NAD(P)+
a reduced flavoprotein (FMNH2)"	"NAD(P)H
an oxidized flavoprotein (FMN)
H+"	"NAD(P)+
a reduced flavoprotein (FMNH2)"
an oxidized glutaredoxin + 2 e-= a reduced glutaredoxin			GLUTAREDOXIN-RXN		"E-
an oxidized glutaredoxin
a reduced glutaredoxin"	"an oxidized glutaredoxin
E-"	a reduced glutaredoxin
an oxidized nitroaromatic compound + NAD(P)H → a reduced nitroaromatic compound + NAD(P)+	NAD(P)H nitroreductase NfsB	DIHYDROPTERIREDUCT-CPLX	RXN-13853	LEFT-TO-RIGHT	"NAD(P)H
an oxidized nitroaromatic compound
a reduced nitroaromatic compound
NAD(P)+"	"an oxidized nitroaromatic compound
NAD(P)H"	"a reduced nitroaromatic compound
NAD(P)+"
an oxidized nitroaromatic compound + NADPH → a reduced nitroaromatic compound + NADP+	NADPH nitroreductase NfsA	CPLX0-244	R303-RXN	PHYSIOL-LEFT-TO-RIGHT	"NADPH
an oxidized nitroaromatic compound
a reduced nitroaromatic compound
NADP+"	"an oxidized nitroaromatic compound
NADPH"	"a reduced nitroaromatic compound
NADP+"
an oxidized thioredoxin + NADPH + H+→ a reduced thioredoxin + NADP+	thioredoxin reductase	THIOREDOXIN-REDUCT-NADPH-CPLX	THIOREDOXIN-REDUCT-NADPH-RXN	PHYSIOL-RIGHT-TO-LEFT	"NADP+
a reduced thioredoxin
an oxidized thioredoxin
NADPH
H+"	"a reduced thioredoxin
NADP+"	"an oxidized thioredoxin
NADPH
H+"
an rRNA + S-adenosyl-L-methionine → a 2-methyladenine in rRNA + S-adenosyl-L-homocysteine			RXN0-5311	PHYSIOL-LEFT-TO-RIGHT	"S-adenosyl-L-methionine
an rRNA
a 2-methyladenine in rRNA
S-adenosyl-L-homocysteine"	"an rRNA
S-adenosyl-L-methionine"	"a 2-methyladenine in rRNA
S-adenosyl-L-homocysteine"
an S-(1-hydroxy-2-oxopropyl)-[protein]-L-cysteine + H2O → a [protein]-L-cysteine + (R)-lactate + H+	protein deglycase 1	CPLX0-861	RXN-17634	LEFT-TO-RIGHT	"H2O
an S-(1-hydroxy-2-oxopropyl)-[protein]-L-cysteine
a [protein]-L-cysteine
(R)-lactate
H+"	"an S-(1-hydroxy-2-oxopropyl)-[protein]-L-cysteine
H2O"	"a [protein]-L-cysteine
(R)-lactate
H+"
an S-sulfanyl-[L-cysteine desulfurase] + a [disordered-form [Fe-S] cluster scaffold protein] = an S-sulfanyl-[cysteine desulfurase]-[disordered-form scaffold protein] complex	scaffold protein for iron-sulfur cluster assembly	G7324-MONOMER	RXN-14381		"a [disordered-form [Fe-S] cluster scaffold protein]
an S-sulfanyl-[L-cysteine desulfurase]
an S-sulfanyl-[cysteine desulfurase]-[disordered-form scaffold protein] complex"	"an S-sulfanyl-[L-cysteine desulfurase]
a [disordered-form [Fe-S] cluster scaffold protein]"	an S-sulfanyl-[cysteine desulfurase]-[disordered-form scaffold protein] complex
an S-sulfanyl-[ThiI sulfur-carrier protein] + a carboxy-adenylated-[ThiS sulfur-carrier protein] + 2 a reduced ferredoxin [iron-sulfur] cluster → a thiocarboxy-[ThiS-Protein] + a ThiI sulfur-carrier protein + AMP + 2 an oxidized ferredoxin [iron-sulfur] cluster	"ThiS adenylyltransferase
tRNA uridine 4-sulfurtransferase"	"THIF-MONOMER
THII-MONOMER"	RXN-9788	LEFT-TO-RIGHT	"a reduced ferredoxin [iron-sulfur] cluster
a carboxy-adenylated-[ThiS sulfur-carrier protein]
an S-sulfanyl-[ThiI sulfur-carrier protein]
a thiocarboxy-[ThiS-Protein]
a ThiI sulfur-carrier protein
AMP
an oxidized ferredoxin [iron-sulfur] cluster"	"an S-sulfanyl-[ThiI sulfur-carrier protein]
a carboxy-adenylated-[ThiS sulfur-carrier protein]
a reduced ferredoxin [iron-sulfur] cluster"	"a thiocarboxy-[ThiS-Protein]
a ThiI sulfur-carrier protein
AMP
an oxidized ferredoxin [iron-sulfur] cluster"
an S-sulfanyl-[ThiI sulfur-carrier protein] + a carboxy-adenylated-[ThiS sulfur-carrier protein] + a ThiF protein → a ThiI sulfur-carrier protein + a ThiS-ThiF acyl-disulfide + AMP + H+			RXN0-7195	PHYSIOL-LEFT-TO-RIGHT	"a ThiF protein
a carboxy-adenylated-[ThiS sulfur-carrier protein]
an S-sulfanyl-[ThiI sulfur-carrier protein]
a ThiI sulfur-carrier protein
a ThiS-ThiF acyl-disulfide
AMP
H+"	"an S-sulfanyl-[ThiI sulfur-carrier protein]
a carboxy-adenylated-[ThiS sulfur-carrier protein]
a ThiF protein"	"a ThiI sulfur-carrier protein
a ThiS-ThiF acyl-disulfide
AMP
H+"
an S-sulfanyl-[ThiI sulfur-carrier protein] + a uridine in tRNA + ATP + 2 a reduced ferredoxin [iron-sulfur] cluster + H+→ a 4-thiouridine in tRNA + a ThiI sulfur-carrier protein + AMP + 2 an oxidized ferredoxin [iron-sulfur] cluster + diphosphate	tRNA uridine 4-sulfurtransferase	THII-MONOMER	RXN-18388	PHYSIOL-LEFT-TO-RIGHT	"H+
a reduced ferredoxin [iron-sulfur] cluster
ATP
a uridine in tRNA
an S-sulfanyl-[ThiI sulfur-carrier protein]
a 4-thiouridine in tRNA
a ThiI sulfur-carrier protein
AMP
diphosphate
an oxidized ferredoxin [iron-sulfur] cluster"	"an S-sulfanyl-[ThiI sulfur-carrier protein]
a uridine in tRNA
ATP
a reduced ferredoxin [iron-sulfur] cluster
H+"	"a 4-thiouridine in tRNA
a ThiI sulfur-carrier protein
AMP
diphosphate
an oxidized ferredoxin [iron-sulfur] cluster"
an unstable RecA filament-DNA complex → a stabilized RecA filament-DNA complex	RecFOR complex	RECFOR-CPLX	RXN0-2606	PHYSIOL-LEFT-TO-RIGHT	"an unstable RecA filament-DNA complex
a stabilized RecA filament-DNA complex"	an unstable RecA filament-DNA complex	a stabilized RecA filament-DNA complex
an [HPr protein]-Nπ-phospho-L-histidine + a sugar[periplasm]→ an [HPr]-L-histidine + a sugar phosphate[cytosol]			2.7.1.69-RXN	PHYSIOL-LEFT-TO-RIGHT	"a sugar
an [HPr protein]-Nπ-phospho-L-histidine
an [HPr]-L-histidine
a sugar phosphate"	"an [HPr protein]-Nπ-phospho-L-histidine
a sugar"	"an [HPr]-L-histidine
a sugar phosphate"
an [HPr protein]-Nπ-phospho-L-histidine + D-galactitol[periplasm]→ galactitol 1-phosphate[cytosol]+ an [HPr]-L-histidine	galactitol-specific PTS enzyme II	CPLX0-231	TRANS-RXN-161	PHYSIOL-LEFT-TO-RIGHT	"D-galactitol
an [HPr protein]-Nπ-phospho-L-histidine
galactitol 1-phosphate
an [HPr]-L-histidine"	"an [HPr protein]-Nπ-phospho-L-histidine
D-galactitol"	"galactitol 1-phosphate
an [HPr]-L-histidine"
an [L-cysteine desulfurase] L-cysteine persulfide + a carboxy-adenylated [small subunit of molybdopterin synthase] + a YnjE protein → an [L-cysteine desulfurase]-L-cysteine + MoeB-YnjE acyl-disulfide + AMP + H+			RXN0-7197	PHYSIOL-LEFT-TO-RIGHT	"a YnjE protein
a carboxy-adenylated [small subunit of molybdopterin synthase]
an [L-cysteine desulfurase] L-cysteine persulfide
an [L-cysteine desulfurase]-L-cysteine
MoeB-YnjE acyl-disulfide
AMP
H+"	"an [L-cysteine desulfurase] L-cysteine persulfide
a carboxy-adenylated [small subunit of molybdopterin synthase]
a YnjE protein"	"an [L-cysteine desulfurase]-L-cysteine
MoeB-YnjE acyl-disulfide
AMP
H+"
an [L-cysteine desulfurase] L-cysteine persulfide + a cytosine32in tRNA + ATP + 2 a reduced ferredoxin [iron-sulfur] cluster + H+→ an [L-cysteine desulfurase]-L-cysteine + a 2-thiocytosine32in tRNA + AMP + 2 an oxidized ferredoxin [iron-sulfur] cluster + diphosphate	tRNA cytosine322-sulfurtransferase TtcA	CPLX0-8124	TRNA-S-TRANSFERASE-RXN	PHYSIOL-LEFT-TO-RIGHT	"H+
a reduced ferredoxin [iron-sulfur] cluster
ATP
a cytosine32in tRNA
an [L-cysteine desulfurase] L-cysteine persulfide
an [L-cysteine desulfurase]-L-cysteine
a 2-thiocytosine32in tRNA
AMP
diphosphate
an oxidized ferredoxin [iron-sulfur] cluster"	"an [L-cysteine desulfurase] L-cysteine persulfide
a cytosine32in tRNA
ATP
a reduced ferredoxin [iron-sulfur] cluster
H+"	"an [L-cysteine desulfurase]-L-cysteine
a 2-thiocytosine32in tRNA
AMP
diphosphate
an oxidized ferredoxin [iron-sulfur] cluster"
an [L-cysteine desulfurase] L-cysteine persulfide + a ThiI sulfur-carrier protein → an [L-cysteine desulfurase]-L-cysteine + an S-sulfanyl-[ThiI sulfur-carrier protein]	cysteine desulfurase	CPLX0-248	RXN-14382	LEFT-TO-RIGHT	"a ThiI sulfur-carrier protein
an [L-cysteine desulfurase] L-cysteine persulfide
an [L-cysteine desulfurase]-L-cysteine
an S-sulfanyl-[ThiI sulfur-carrier protein]"	"an [L-cysteine desulfurase] L-cysteine persulfide
a ThiI sulfur-carrier protein"	"an [L-cysteine desulfurase]-L-cysteine
an S-sulfanyl-[ThiI sulfur-carrier protein]"
an [L-cysteine desulfurase] L-cysteine persulfide + an unsulfurated [sulfur carrier] ↔ an [L-cysteine desulfurase]-L-cysteine + a sulfurated [sulfur carrier]	"L-cysteine desulfurase
cysteine desulfurase"	"CPLX0-246
CPLX0-248"	RXN-12587	REVERSIBLE	"an unsulfurated [sulfur carrier]
an [L-cysteine desulfurase] L-cysteine persulfide
an [L-cysteine desulfurase]-L-cysteine
a sulfurated [sulfur carrier]"	"an [L-cysteine desulfurase] L-cysteine persulfide
an unsulfurated [sulfur carrier]"	"an [L-cysteine desulfurase]-L-cysteine
a sulfurated [sulfur carrier]"
an [L-cysteine desulfurase]-L-cysteine + L-cysteine → an [L-cysteine desulfurase] L-cysteine persulfide + L-alanine	"L-cysteine desulfurase
cysteine desulfurase"	"CPLX0-246
CPLX0-248"	RXN0-308	LEFT-TO-RIGHT	"L-cysteine
an [L-cysteine desulfurase]-L-cysteine
an [L-cysteine desulfurase] L-cysteine persulfide
L-alanine"	"an [L-cysteine desulfurase]-L-cysteine
L-cysteine"	"an [L-cysteine desulfurase] L-cysteine persulfide
L-alanine"
an [RNA 3'-phosphate cyclase]-Nτ-(5'-adenylyl)-L-histidine + an [RNA]-3'-ribonucleoside-3'-phosphate + H+→ an [RNA]-3'-ribonucleoside-3'-(5'-diphosphoadenosine) + an [RNA 3'-phosphate cyclase]-L-histidine	RNA 3'-terminal phosphate cyclase	G7750-MONOMER	RXN-17931	PHYSIOL-LEFT-TO-RIGHT	"H+
an [RNA]-3'-ribonucleoside-3'-phosphate
an [RNA 3'-phosphate cyclase]-Nτ-(5'-adenylyl)-L-histidine
an [RNA]-3'-ribonucleoside-3'-(5'-diphosphoadenosine)
an [RNA 3'-phosphate cyclase]-L-histidine"	"an [RNA 3'-phosphate cyclase]-Nτ-(5'-adenylyl)-L-histidine
an [RNA]-3'-ribonucleoside-3'-phosphate
H+"	"an [RNA]-3'-ribonucleoside-3'-(5'-diphosphoadenosine)
an [RNA 3'-phosphate cyclase]-L-histidine"
an [RNA]-3'-ribonucleoside-3'-(5'-diphosphoadenosine) → an [RNA]-3'-ribunucleoside-2',3'-cyclophosphate + AMP + H+	RNA 3'-terminal phosphate cyclase	G7750-MONOMER	RXN-17928	PHYSIOL-LEFT-TO-RIGHT	"an [RNA]-3'-ribonucleoside-3'-(5'-diphosphoadenosine)
an [RNA]-3'-ribunucleoside-2',3'-cyclophosphate
AMP
H+"	an [RNA]-3'-ribonucleoside-3'-(5'-diphosphoadenosine)	"an [RNA]-3'-ribunucleoside-2',3'-cyclophosphate
AMP
H+"
